text,link
DATA SCIENCE,/datascience/default.asp
INTRO TO PROGRAMMING,/programming/index.php
INTRO TO HTML & CSS,/htmlcss/default.asp
BASH,/bash/index.php
RUST,/rust/index.php
,javascript:void(0)
HTML HOME,default.asp
HTML Introduction,html_intro.asp
HTML Editors,html_editors.asp
HTML Basic,html_basic.asp
Basic,html_basic.asp
Code Challenge,html_challenges_basic.asp
HTML Elements,html_elements.asp
Elements,html_elements.asp
Code Challenge,html_challenges_elements.asp
HTML Attributes,html_attributes.asp
Attributes,html_attributes.asp
Code Challenge,html_challenges_attributes.asp
HTML Headings,html_headings.asp
Headings,html_headings.asp
Code Challenge,html_challenges_headings.asp
HTML Paragraphs,html_paragraphs.asp
Paragraphs,html_paragraphs.asp
Code Challenge,html_challenges_paragraphs.asp
HTML Styles,html_styles.asp
Styles,html_styles.asp
Code Challenge,html_challenges_styles.asp
HTML Formatting,html_formatting.asp
Formatting,html_formatting.asp
Code Challenge,html_challenges_formatting.asp
HTML Quotations,html_quotation_elements.asp
Quotations,html_quotation_elements.asp
Code Challenge,html_challenges_quotations.asp
HTML Comments,html_comments.asp
Comments,html_comments.asp
Code Challenge,html_challenges_comments.asp
HTML Colors,html_colors.asp
Colors,html_colors.asp
RGB,html_colors_rgb.asp
HEX,html_colors_hex.asp
HSL,html_colors_hsl.asp
Code Challenge,html_challenges_colors.asp
HTML CSS,html_css.asp
CSS,html_css.asp
Code Challenge,html_challenges_css.asp
HTML Links,html_links.asp
Links,html_links.asp
Link Colors,html_links_colors.asp
Link Bookmarks,html_links_bookmarks.asp
Code Challenge,html_challenges_links.asp
HTML Images,html_images.asp
Images,html_images.asp
Image Map,html_images_imagemap.asp
Background Images,html_images_background.asp
The Picture Element,html_images_picture.asp
Code Challenge,html_challenges_images.asp
HTML Favicon,html_favicon.asp
HTML Page Title,html_page_title.asp
HTML Tables,html_tables.asp
HTML Tables,html_tables.asp
Table Borders,html_table_borders.asp
Table Sizes,html_table_sizes.asp
Table Headers,html_table_headers.asp
Padding & Spacing,html_table_padding_spacing.asp
Colspan & Rowspan,html_table_colspan_rowspan.asp
Table Styling,html_table_styling.asp
Table Colgroup,html_table_colgroup.asp
Code Challenge,html_challenges_tables.asp
HTML Lists,html_lists.asp
Lists,html_lists.asp
Unordered Lists,html_lists_unordered.asp
Ordered Lists,html_lists_ordered.asp
Other Lists,html_lists_other.asp
Code Challenge,html_challenges_lists.asp
HTML Block & Inline,html_blocks.asp
Block & Inline,html_blocks.asp
Code Challenge,html_challenges_blocks.asp
HTML Div,html_div.asp
Div,html_div.asp
Code Challenge,html_challenges_div.asp
HTML Classes,html_classes.asp
Classes,html_classes.asp
Code Challenge,html_challenges_classes.asp
HTML Id,html_id.asp
Id,html_id.asp
Code Challenge,html_challenges_id.asp
HTML Buttons,html_buttons.asp
Buttons,html_buttons.asp
Code Challenge,html_challenges_buttons.asp
HTML Iframes,html_iframe.asp
Iframes,html_iframe.asp
Code Challenge,html_challenges_iframes.asp
HTML JavaScript,html_scripts.asp
JavaScript,html_scripts.asp
Code Challenge,html_challenges_scripts.asp
HTML File Paths,html_filepaths.asp
File Paths,html_filepaths.asp
Code Challenge,html_challenges_filepaths.asp
HTML Head,html_head.asp
Head,html_head.asp
Code Challenge,html_challenges_head.asp
HTML Layout,html_layout.asp
Layout,html_layout.asp
Code Challenge,html_challenges_layout.asp
HTML Responsive,html_responsive.asp
Responsive,html_responsive.asp
Code Challenge,html_challenges_responsive.asp
HTML Computercode,html_computercode_elements.asp
Computercode,html_computercode_elements.asp
Code Challenge,html_challenges_computercode.asp
HTML Semantics,html5_semantic_elements.asp
Semantics,html5_semantic_elements.asp
Code Challenge,html_challenges_semantics.asp
HTML Style Guide,html5_syntax.asp
HTML Entities,html_entities.asp
Entities,html_entities.asp
Code Challenge,html_challenges_entities.asp
HTML Symbols,html_symbols.asp
HTML Emojis,html_emojis.asp
HTML Charsets,html_charset.asp
HTML URL Encode,html_urlencode.asp
HTML vs. XHTML,html_xhtml.asp
HTML Forms,html_forms.asp
Forms,html_forms.asp
Code Challenge,html_challenges_forms.asp
HTML Form Attributes,html_forms_attributes.asp
HTML Form Elements,html_form_elements.asp
Form Elements,html_form_elements.asp
Code Challenge,html_challenges_form_elements.asp
HTML Input Types,html_form_input_types.asp
Input Types,html_form_input_types.asp
Code Challenge,html_challenges_input_types.asp
HTML Input Attributes,html_form_attributes.asp
Input Form Attributes,html_form_attributes_form.asp
HTML Canvas,html5_canvas.asp
Canvas,html5_canvas.asp
Code Challenge,html_challenges_canvas.asp
HTML SVG,html5_svg.asp
SVG,html5_svg.asp
Code Challenge,html_challenges_svg.asp
HTML Media,html_media.asp
HTML Video,html5_video.asp
Video,html5_video.asp
Code Challenge,html_challenges_video.asp
HTML Audio,html5_audio.asp
Audio,html5_audio.asp
Code Challenge,html_challenges_audio.asp
HTML Plug-ins,html_object.asp
HTML YouTube,html_youtube.asp
HTML Web APIs,html5_api_whatis.asp
HTML Geolocation,html5_geolocation.asp
HTML Drag and Drop,html5_draganddrop.asp
HTML Web Storage,html5_webstorage.asp
HTML Web Workers,html5_webworkers.asp
HTML SSE,html5_serversentevents.asp
HTML Examples,html_examples.asp
HTML Editor,html_editor.asp
HTML Quiz,html_quiz.asp
HTML Exercises,html_exercises.asp
HTML Challenges,html_challenges.asp
HTML Website,html_website.asp
HTML Syllabus,html_syllabus.asp
HTML Study Plan,html_study_plan.asp
HTML Interview Prep,html_interview_prep.asp
HTML Bootcamp,html_bootcamp.asp
HTML Certificate,html_exam.asp
HTML Summary,html_summary.asp
HTML Accessibility,html_accessibility.asp
HTML Tag List,/tags/default.asp
HTML Attributes,/tags/ref_attributes.asp
HTML Global Attributes,/tags/ref_standardattributes.asp
HTML Browser Support,/tags/ref_html_browsersupport.asp
HTML Events,/tags/ref_eventattributes.asp
HTML Colors,/tags/ref_colornames.asp
HTML Canvas,/tags/ref_canvas.asp
HTML Audio/Video,/tags/ref_av_dom.asp
HTML Doctypes,/tags/ref_html_dtd.asp
HTML Character Sets,/tags/ref_charactersets.asp
HTML URL Encode,/tags/ref_urlencode.asp
HTML Lang Codes,/tags/ref_language_codes.asp
HTTP Messages,/tags/ref_httpmessages.asp
HTTP Methods,/tags/ref_httpmethods.asp
PX to EM Converter,/tags/ref_pxtoemconversion.asp
Keyboard Shortcuts,/tags/ref_keyboardshortcuts.asp
❮ Home,/default.asp
Next ❯,html_intro.asp
Learn HTML Now »,html_intro.asp
Upgrade to our HTML Course,https://campus.w3schools.com/collections/course-catalog/products/html-course
🏁,https://profile.w3schools.com/signup
Sign in,https://profile.w3schools.com/signup
Try it Yourself »,tryit.asp?filename=tryhtml_default
See all HTML Examples,html_examples.asp
See all HTML Exercises,html_exercises.asp
Start HTML Quiz!,html_quiz.asp
Sign Up »,https://profile.w3schools.com/sign-up
HTML Elements,/tags/default.asp
Browser Support,/tags/ref_html_browsersupport.asp
Attributes,/tags/ref_attributes.asp
Global Attributes,/tags/ref_standardattributes.asp
Event Attributes,/tags/ref_eventattributes.asp
Color Names,/tags/ref_colornames.asp
Canvas,/tags/ref_canvas.asp
Audio/Video DOM,/tags/ref_av_dom.asp
Character Sets,/tags/ref_charactersets.asp
URL Encoding,/tags/ref_urlencode.asp
Language Codes,/tags/ref_language_codes.asp
Country Codes,/tags/ref_country_codes.asp
HTTP Messages,/tags/ref_httpmessages.asp
Px to Em Converter,/tags/ref_pxtoemconversion.asp
Keyboard Shortcuts,/tags/ref_keyboardshortcuts.asp
Get certified,https://campus.w3schools.com/collections/course-catalog
,https://youtu.be/BzYMFd-lQL4
❮ Home,/default.asp
Next ❯,html_intro.asp
★+1,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com
Sign in to track progress,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fpathfinder.w3schools.com
,https://campus.w3schools.com/products/w3schools-full-access-course
COLOR PICKER,/colors/colors_picker.asp
,/colors/colors_picker.asp
,https://www.youtube.com/@w3schools
,https://www.linkedin.com/company/w3schools.com/
,https://discord.com/invite/w3schools
,https://www.facebook.com/w3schoolscom/
,https://www.instagram.com/w3schools.com_official/
,https://www.tiktok.com/@w3schools.com
REMOVE ADS,https://order.w3schools.com/plans
,//www.w3schools.com
PLUS,https://order.w3schools.com/plans
SPACES,/spaces/index.php
GET CERTIFIED,https://campus.w3schools.com/collections/certifications
FOR TEACHERS,/academy/index.php
BOOTCAMPS,/bootcamp/index.php
CONTACT US,javascript:void(0);
HTML Tutorial,/html/default.asp
CSS Tutorial,/css/default.asp
JavaScript Tutorial,/js/default.asp
How To Tutorial,/howto/default.asp
SQL Tutorial,/sql/default.asp
Python Tutorial,/python/default.asp
W3.CSS Tutorial,/w3css/default.asp
Bootstrap Tutorial,/bootstrap/bootstrap_ver.asp
PHP Tutorial,/php/default.asp
Java Tutorial,/java/default.asp
C++ Tutorial,/cpp/default.asp
jQuery Tutorial,/jquery/default.asp
HTML Reference,/tags/default.asp
CSS Reference,/cssref/index.php
JavaScript Reference,/jsref/default.asp
SQL Reference,/sql/sql_ref_keywords.asp
Python Reference,/python/python_reference.asp
W3.CSS Reference,/w3css/w3css_references.asp
Bootstrap Reference,/bootstrap/bootstrap_ref_all_classes.asp
PHP Reference,/php/php_ref_overview.asp
HTML Colors,/colors/colors_names.asp
Java Reference,/java/java_ref_keywords.asp
AngularJS Reference,/angularjs/angularjs_ref_directives.asp
jQuery Reference,/jquery/jquery_ref_overview.asp
HTML Examples,/html/html_examples.asp
CSS Examples,/css/css_examples.asp
JavaScript Examples,/js/js_examples.asp
How To Examples,/howto/default.asp
SQL Examples,/sql/sql_examples.asp
Python Examples,/python/python_examples.asp
W3.CSS Examples,/w3css/w3css_examples.asp
Bootstrap Examples,/bootstrap/bootstrap_examples.asp
PHP Examples,/php/php_examples.asp
Java Examples,/java/java_examples.asp
XML Examples,/xml/xml_examples.asp
jQuery Examples,/jquery/jquery_examples.asp
Get Certified,https://campus.w3schools.com/collections/course-catalog
HTML Certificate,https://campus.w3schools.com/collections/certifications/products/html-certificate
CSS Certificate,https://campus.w3schools.com/collections/certifications/products/css-certificate
JavaScript Certificate,https://campus.w3schools.com/collections/certifications/products/javascript-certificate
Front End Certificate,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
SQL Certificate,https://campus.w3schools.com/collections/certifications/products/sql-certificate
Python Certificate,https://campus.w3schools.com/collections/certifications/products/python-certificate
PHP Certificate,https://campus.w3schools.com/collections/certifications/products/php-certificate
jQuery Certificate,https://campus.w3schools.com/collections/certifications/products/jquery-certificate
Java Certificate,https://campus.w3schools.com/collections/certifications/products/java-certificate
C++ Certificate,https://campus.w3schools.com/collections/certifications/products/c-certificate
C# Certificate,https://campus.w3schools.com/collections/certifications/products/c-certificate-1
XML Certificate,https://campus.w3schools.com/collections/certifications/products/xml-certificate
,https://www.youtube.com/@w3schools
,https://www.linkedin.com/company/w3schools.com/
,https://discord.com/invite/w3schools
,https://www.facebook.com/w3schoolscom/
,https://www.instagram.com/w3schools.com_official/
FORUM,/forum/index.php
ABOUT,/about/default.asp
ACADEMY,/academy/index.php
terms of use,/about/about_copyright.asp
cookies,
privacy policy,/about/about_privacy.asp
Copyright 1999-2026,/about/about_copyright.asp
W3Schools is Powered by W3.CSS,//www.w3schools.com/w3css/default.asp
